250V_1	250C_1	200V_1	200C_1	166V_1	166C_1	140V_1	140C_1	100V_1	100C_1	050V_1	050C_1	036V_1	036C_1	025V_1	025C_1	020V_1	020C_1	017V_1	017C_1	014V_1	014C_1	010V_1	010C_1
0	3.34E-11	0	2.67E-11	0	1.89E-11	0	1.83E-11	0	1.93E-11	0	1.69E-11	0	1.31E-11	0	1.18E-11	0	8.19E-12	0	6.30E-12	0	7.67E-12	0	6.11E-12
0.0667	6.88E-09	0.05	2.42E-09	0.04	1.45E-09	0.0303	3.47E-10	0.02	9.82E-11	0.02	9.40E-11	0.02	9.76E-11	0.02	9.76E-11	0.02	6.54E-11	0.02	5.60E-11	0.02	4.74E-11	0.02	3.25E-11
0.1333	1.56E-08	0.1	5.05E-09	0.08	2.82E-09	0.0606	7.65E-10	0.04	1.02E-10	0.04	1.01E-10	0.04	1.02E-10	0.04	1.01E-10	0.04	9.68E-11	0.04	9.55E-11	0.04	9.05E-11	0.04	6.36E-11
0.2	2.80E-08	0.15	8.96E-09	0.12	4.61E-09	0.0909	1.01E-09	0.06	4.48E-10	0.06	3.35E-10	0.06	5.66E-10	0.06	1.04E-10	0.06	1.74E-10	0.06	9.85E-11	0.06	9.81E-11	0.06	8.93E-11
0.2667	4.38E-08	0.2	1.45E-08	0.16	7.05E-09	0.1212	1.64E-09	0.08	6.65E-10	0.08	4.86E-10	0.08	5.66E-10	0.08	7.59E-10	0.08	2.43E-10	0.08	1.99E-10	0.08	1.91E-10	0.08	1.18E-10
0.3333	6.33E-08	0.25	1.94E-08	0.2	9.05E-09	0.1515	2.27E-09	0.1	8.58E-10	0.1	6.43E-10	0.1	7.69E-10	0.1	9.88E-10	0.1	3.15E-10	0.1	2.81E-10	0.1	2.31E-10	0.1	1.57E-10
0.4	8.62E-08	0.3	2.76E-08	0.24	1.34E-08	0.1818	3.07E-09	0.12	1.06E-09	0.12	8.25E-10	0.12	9.23E-10	0.12	1.26E-09	0.12	3.87E-10	0.12	3.14E-10	0.12	2.60E-10	0.12	1.88E-10
0.4667	1.13E-07	0.35	3.75E-08	0.28	1.65E-08	0.2121	4.10E-09	0.14	1.31E-09	0.14	1.06E-09	0.14	1.57E-09	0.14	1.70E-09	0.14	4.86E-10	0.14	4.07E-10	0.14	3.14E-10	0.14	2.25E-10
0.5333	1.48E-07	0.4	4.81E-08	0.32	2.14E-08	0.2424	5.54E-09	0.16	1.71E-09	0.16	1.30E-09	0.16	1.54E-09	0.16	2.47E-09	0.16	6.19E-10	0.16	4.90E-10	0.16	3.80E-10	0.16	2.75E-10
0.6	1.92E-07	0.45	6.79E-08	0.36	2.85E-08	0.2727	6.57E-09	0.18	2.06E-09	0.18	1.60E-09	0.18	1.84E-09	0.18	2.22E-09	0.18	7.46E-10	0.18	6.11E-10	0.18	4.94E-10	0.18	3.54E-10
