voltage	        lam         chi     gam     E_AB        kappa          gL           gR             E_AC         gC
0.00            1.2         2.8     3.0     0.8         100          1.0e-05     8.0e-05          -0.9       8.0e-10   
0.25            1.2         2.8     3.0     0.8         100          1.0e-05     8.0e-05          -0.9       8.0e-10 
0.50            1.2         2.8     3.0     0.8         100          1.0e-05     8.0e-05          -0.9       8.0e-10 
0.75            1.2         2.8     3.0     0.8         100          1.0e-05     8.0e-05          -0.9       8.0e-10  
1.00            1.2         2.8     3.0     0.8         100          1.0e-05     8.0e-05          -0.9       8.0e-10  
1.25            1.2         2.8     3.0     0.79        100          1.0e-05     8.0e-05          -1.1       8.0e-10  
1.50            1.2         2.8     4.5     0.776        15           1.0e-05     2.0e-05          -0.7       2.0e-10
1.75            1.2         2.8     2.0     0.76         30           1.0e-05     2.0e-05          -0.75      2.0e-10
2.00            1.2         2.8     2.0     0.76         30           1.0e-05     2.0e-05          -0.95      2.0e-10 



      
