voltage	        lam         chi     gam     E_AB      kappa           gL                 gR            gC               E_AC
0.00            1.2         2.67     4.5    0.78      1.00e+02     6.84e-05           1.000e-04     6.84e-09           -0.70
0.25            1.2         2.67     4.5    0.78      1.00e+02     6.84e-05           5.00e-05      3.42e-09           -0.70  
0.50            1.2         2.67     4.5    0.78      1.00e+02     6.84e-05          4.134e-05      2.83e-09            -0.70
0.75            1.2         2.67     4.5    0.78      1.00e+02     6.84e-05          4.134e-05      2.83e-09            -0.70
1.00            1.2         1.2      4.5    0.78      1.00e+02     6.84e-05          8.340e-05      5.70e-09            -1.25
1.25            1.0         1.1      1.0     0.73      7.36e+01     6.84e-05	    8.000e-04       5.47e-08            -1.52
1.50            1.0         2.5      4.5     0.73      33.37        6.84e-05         6.3979e-04      4.37e-08             -0.8 
1.75            1.0         2.67     4.5     0.70      43.6         6.84e-05          6.51000e-05    4.453e-09            -1.05
2.00            1.0         2.67     4.5     0.70      43.6         6.84e-05    	    6.51000e-05     4.453e-09            -1.05 



