voltage	        lam         chi     gam     E_AB      kappa           gL                 gR     gC                 E_AC   
0.00            1.2         2.4     3.0    0.8      8.0e+01     1.00e-04           9.134e-05    9.134e-09         -0.90
0.25            1.2         2.4     3.0    0.8      8.0e+01     1.00e-04           2.134e-05    2.134e-09         -0.90 
0.50            1.2         2.4     3.0    0.8      8.0e+01     1.00e-04           4.134e-05    4.134e-09         -0.90 
0.75            1.2         2.4     3.0    0.8      8.0e+01     1.00e-04           4.134e-05    4.134e-09          -0.90
1.00            1.2         1.2     2.0    0.80     1.00e+02    1.00e-04           2.1340e-05   2.134e-09          -1.35
1.25            1.2         1.2     1.0    0.708    1.00e+02    1.00e-04	   1.000e-04    1.000e-08           -1.52
1.50            1.2         1.9     2.5    0.73     2.28e+01    1.00e-04           7.400e-05    7.400e-09           -0.70 
1.75            1.2         1.9     2.5    0.73     3.98e+01    1.00e-04           8.510e-05    8.510e-09            -.90
2.00            1.2         1.9     2.5    0.78     5.0e+01     1.00e-04    	   9.450e-04    9.450e-08            -1.1 


