voltage	        lam         chi     gam     E_AB       kappa           gL                 gR            gC                E_AC
0.00            1.2         2.67     4.0     0.8         65           1.00e-05           1.134e-04     1.134e-09         -0.80
0.25            1.2         2.67     4.0     0.8         65           1.00e-05           1.134e-04     8.134e-09         -0.80 
0.50            1.2         2.67     4.0     0.8         65           1.00e-05           8.134e-05     8.134e-10         -0.80 
0.75            1.2         2.67     4.0     0.8         65           1.00e-05           8.134e-05     8.134e-10         -0.80
1.00            1.2         2.67     4.0     0.80        65           1.00e-05           8.134e-05     8.134e-10         -0.80
1.25            1.2         1.3      2.0     0.86        65          1.00e-05	         8.340e-04     8.134e-09         -1.45
1.50            1.0         1.3     0.719   0.77         80           1.00e-05           1.000e-03     1.0e-08           -1.60 
1.75            1.0         1.3     0.719   0.75         80           1.00e-05           2.000e-03     2.0e-08           -1.60
2.00            1.0         1.3     0.719   0.75         80           1.00e-05           3.000e-03     3.0e-08           -1.60        




     
     
