DatSet,lam,chi,gam,E_AB,kappa,gL,gR,E_AC
F4-HATNA_SR,1.2,1.9,4,0.74,20,0.001,0.0045,-0.72
F4-HATNA_NegMin,1,1.1,1,0.7,33.37,0.0000684,0.00004134,-1.52
F4-HATNA_NegMax,1.2,2.67,4.5,0.78,100,0.0000684,0.0008,-0.7
MeO-HATNA_SR,1.2,1.8,6,0.74,30,0.00075,0.00000075,-0.78
MeO-HATNA_NegMin,1,1.1,1,0.7,23.6,0.0000684,0.00004134,-1.2
MeO-HATNA_NegMax,1.2,2.6,4.5,0.77,120,0.0000684,0.0001,1.52
NO2-HATNA_SR,1.1,1.6,3.5,0.78,8,0.00012,0.003,-1.4
NO2-HATNA_NegMin,1,1.3,0.719,0.75,65,0.00001,0.00008134,-1.6
NO2-HATNA_NegMax,1.2,2.67,4,0.86,80,0.00001,0.003,-0.8
NH2-HATNA_SR,1,1.3,2,0.78,14,0.001,0.003,-1.45
NH2-HATNA_NegMin,1.2,1.2,1,0.708,22.8,0.0001,1,-1.52
NH2-HATNA_NegMax,1.2,2.4,3,0.8,100,0.0001,1,-0.7
TAP_SR,1.2,1.9,5,0.77,18,0.00001,0.001,-0.8
TAP_NegMin,1,1.1,1,0.7,60,0.00004,0.0000345,-1.52
TAP_NegMax,1.2,2.7,4.5,0.8,120,0.00004,0.0008,-0.9
DAP_SR,1,2,1,0.77,16,0.00001,0.001,-0.9
DAP_NegMin,1.2,2.8,2,0.76,15,0.00001,0.00002,2E-10
DAP_NegMax,1.2,2.8,4.5,0.8,100,0.00001,0.00008,8E-10
