voltage	   lam          chi         gam         E_AB          kappa           gL          gR        gC            E_AC
0.00       1.2          2.7         4.5         0.8           80           4.0e-05     8.0e-05    3.2e-09        -0.9                   
0.25       1.2          2.7         4.5         0.8           80           4.0e-05     8.0e-05    3.2e-09        -0.9               
0.50       1.2          2.7         4.5         0.8           80           4.0e-05     8.0e-05    3.2e-09        -0.9               
0.75       1.2          2.7         4.5         0.8           80           4.0e-05     8.0e-05    3.2e-09        -0.9
1.00       1.0          1.4         1.0         0.8           80           4.0e-05     1.0e-04    4.0e-09        -1.35              
1.25       1.0          1.1         1.0         0.70          120           4.0e-05     4.00e-04   1.6e-08        -1.52                
1.50       1.0          2.5         4.5         0.70          60            4.0e-05     8.00e-04   3.2e-08        -0.98                
1.75       1.0          2.5         4.5         0.74          60           4.0e-05     5.48e-05   2.192e-09      -0.98         
2.00       1.0          2.5         4.5         0.78          60           4.0e-05     3.45e-05   1.380e-09      -0.98                    


       
